Date,FTSE,NASDAQ
2005-01-31,4852.2998046875,2062.409912109375
2005-02-28,4968.5,2051.719970703125
2005-03-31,4894.39990234375,1999.22998046875
2005-04-30,4801.7001953125,1921.6500244140625
2005-05-31,4964.0,2068.219970703125
2005-06-30,5113.2001953125,2056.9599609375
2005-07-31,5282.2998046875,2184.830078125
2005-08-31,5296.89990234375,2152.090087890625
2005-09-30,5477.7001953125,2151.68994140625
2005-10-31,5317.2998046875,2120.300048828125
2005-11-30,5423.2001953125,2232.820068359375
2005-12-31,5618.7998046875,2205.320068359375
2006-01-31,5760.2998046875,2305.820068359375
2006-02-28,5791.5,2281.389892578125
2006-03-31,5964.60009765625,2339.7900390625
2006-04-30,6023.10009765625,2322.570068359375
2006-05-31,5723.7998046875,2178.8798828125
2006-06-30,5833.39990234375,2172.090087890625
2006-07-31,5928.2998046875,2091.469970703125
2006-08-31,5906.10009765625,2183.75
2006-09-30,5960.7998046875,2258.429931640625
2006-10-31,6129.2001953125,2366.7099609375
2006-11-30,6048.89990234375,2431.77001953125
2006-12-31,6220.7998046875,2415.2900390625
2007-01-31,6203.10009765625,2463.929931640625
2007-02-28,6171.5,2416.14990234375
2007-03-31,6308.0,2421.639892578125
2007-04-30,6449.2001953125,2525.090087890625
2007-05-31,6621.5,2604.52001953125
2007-06-30,6607.89990234375,2603.22998046875
2007-07-31,6360.10009765625,2546.27001953125
2007-08-31,6303.2998046875,2596.360107421875
2007-09-30,6466.7998046875,2701.5
2007-10-31,6721.60009765625,2859.1201171875
2007-11-30,6432.5,2660.9599609375
2007-12-31,6456.89990234375,2652.280029296875
2008-01-31,5879.7998046875,2389.860107421875
2008-02-29,5884.2998046875,2271.47998046875
2008-03-31,5702.10009765625,2279.10009765625
2008-04-30,6087.2998046875,2412.800048828125
2008-05-31,6053.5,2522.659912109375
2008-06-30,5625.89990234375,2292.97998046875
2008-07-31,5411.89990234375,2325.550048828125
2008-08-31,5636.60009765625,2367.52001953125
2008-09-30,4902.5,2091.8798828125
2008-10-31,4377.2998046875,1720.949951171875
2008-11-30,4288.0,1535.5699462890625
2008-12-31,4434.2001953125,1577.030029296875
2009-01-31,4149.60009765625,1476.4200439453125
2009-02-28,3830.10009765625,1377.8399658203125
2009-03-31,3926.10009765625,1528.5899658203125
2009-04-30,4243.7001953125,1717.300048828125
2009-05-31,4417.89990234375,1774.3299560546875
