Date,FTSE,NASDAQ
2005-01-07,4854.10009765625,2088.610107421875
2005-01-14,4820.7998046875,2087.909912109375
2005-01-21,4803.2998046875,2034.27001953125
2005-01-28,4832.7998046875,2035.8299560546875
2005-02-04,4941.5,2086.659912109375
2005-02-11,5044.2001953125,2076.659912109375
2005-02-18,5057.2001953125,2058.6201171875
2005-02-25,5006.7998046875,2065.39990234375
2005-03-04,5036.2998046875,2070.610107421875
2005-03-11,4982.10009765625,2041.5999755859375
2005-03-18,4923.2998046875,2007.7900390625
2005-03-25,4922.5,1991.06005859375
2005-04-01,4914.0,1984.81005859375
2005-04-08,4983.7001953125,1999.3499755859375
2005-04-15,4891.60009765625,1908.1500244140625
2005-04-22,4849.2998046875,1932.18994140625
2005-04-29,4801.7001953125,1921.6500244140625
2005-05-06,4918.89990234375,1967.3499755859375
2005-05-13,4886.5,1976.780029296875
2005-05-20,4971.7998046875,2046.4200439453125
2005-05-27,4986.2998046875,2075.72998046875
2005-06-03,4999.39990234375,2071.429931640625
2005-06-10,5030.39990234375,2063.0
2005-06-17,5077.60009765625,2090.110107421875
2005-06-24,5079.0,2053.27001953125
2005-07-01,5161.0,2057.3701171875
2005-07-08,5232.2001953125,2112.8798828125
2005-07-15,5230.89990234375,2156.780029296875
2005-07-22,5241.7998046875,2179.739990234375
2005-07-29,5282.2998046875,2184.830078125
2005-08-05,5314.7998046875,2177.909912109375
2005-08-12,5345.7998046875,2156.89990234375
2005-08-19,5312.60009765625,2135.56005859375
2005-08-26,5228.10009765625,2120.77001953125
2005-09-02,5326.89990234375,2141.070068359375
2005-09-09,5359.2998046875,2175.510009765625
2005-09-16,5407.89990234375,2160.35009765625
2005-09-23,5413.60009765625,2116.840087890625
2005-09-30,5477.7001953125,2151.68994140625
2005-10-07,5362.2998046875,2090.35009765625
2005-10-14,5275.0,2064.830078125
2005-10-21,5142.10009765625,2082.2099609375
2005-10-28,5213.39990234375,2089.8798828125
2005-11-04,5423.60009765625,2169.429931640625
2005-11-11,5465.10009765625,2202.469970703125
2005-11-18,5498.89990234375,2227.070068359375
2005-11-25,5523.7998046875,2263.010009765625
2005-12-02,5528.10009765625,2273.3701171875
2005-12-09,5517.39990234375,2256.72998046875
2005-12-16,5531.60009765625,2252.47998046875
2005-12-23,5595.5,2249.419921875
2005-12-30,5618.7998046875,2205.320068359375
2006-01-06,5731.7998046875,2305.6201171875
2006-01-13,5711.0,2317.0400390625
2006-01-20,5672.39990234375,2247.699951171875
2006-01-27,5786.7998046875,2304.22998046875
2006-02-03,5759.2998046875,2262.580078125
2006-02-10,5764.10009765625,2261.8798828125
2006-02-17,5846.2001953125,2282.360107421875
2006-02-24,5860.5,2287.0400390625
2006-03-03,5858.7001953125,2302.60009765625
2006-03-10,5907.89990234375,2262.0400390625
2006-03-17,5999.39990234375,2306.47998046875
2006-03-24,6036.2998046875,2312.820068359375
2006-03-31,5964.60009765625,2339.7900390625
2006-04-07,6026.10009765625,2339.02001953125
2006-04-14,6029.39990234375,2326.110107421875
2006-04-21,6132.7001953125,2342.860107421875
2006-04-28,6023.10009765625,2322.570068359375
2006-05-05,6091.7001953125,2342.570068359375
2006-05-12,5912.10009765625,2243.780029296875
2006-05-19,5657.39990234375,2193.8798828125
2006-05-26,5791.0,2210.3701171875
2006-06-02,5764.60009765625,2219.409912109375
2006-06-09,5655.2001953125,2135.06005859375
2006-06-16,5597.39990234375,2129.949951171875
2006-06-23,5692.10009765625,2121.469970703125
2006-06-30,5833.39990234375,2172.090087890625
2006-07-07,5888.89990234375,2130.06005859375
2006-07-14,5707.60009765625,2037.3499755859375
2006-07-21,5719.7001953125,2020.3900146484375
2006-07-28,5974.89990234375,2094.139892578125
2006-08-04,5889.39990234375,2085.050048828125
2006-08-11,5820.10009765625,2057.7099609375
2006-08-18,5903.39990234375,2163.949951171875
2006-08-25,5878.60009765625,2140.2900390625
2006-09-01,5949.2001953125,2193.159912109375
2006-09-08,5879.2998046875,2165.7900390625
2006-09-15,5877.0,2235.590087890625
2006-09-22,5822.2998046875,2218.929931640625
2006-09-29,5960.7998046875,2258.429931640625
