Date,FTSE,NASDAQ
2005-01-03,,2152.14990234375
2005-01-04,4847.0,2107.860107421875
2005-01-05,4806.0,2091.239990234375
2005-01-06,4824.2998046875,2090.0
2005-01-07,4854.10009765625,2088.610107421875
2005-01-10,4840.7001953125,2097.0400390625
2005-01-11,4818.7001953125,2079.6201171875
2005-01-12,4783.60009765625,2092.530029296875
2005-01-13,4800.2998046875,2070.56005859375
2005-01-14,4820.7998046875,2087.909912109375
2005-01-17,4846.7001953125,
2005-01-18,4823.89990234375,2106.0400390625
2005-01-19,4818.2998046875,2073.590087890625
2005-01-20,4800.7998046875,2045.8800048828125
2005-01-21,4803.2998046875,2034.27001953125
2005-01-24,4812.5,2008.699951171875
2005-01-25,4843.2001953125,2019.949951171875
2005-01-26,4847.10009765625,2046.0899658203125
2005-01-27,4853.39990234375,2047.1500244140625
2005-01-28,4832.7998046875,2035.8299560546875
2005-01-31,4852.2998046875,2062.409912109375
2005-02-01,4906.2001953125,2068.699951171875
2005-02-02,4916.2001953125,2075.06005859375
2005-02-03,4908.2998046875,2057.639892578125
2005-02-04,4941.5,2086.659912109375
2005-02-07,4979.7998046875,2082.030029296875
2005-02-08,4995.5,2086.679931640625
2005-02-09,4990.39990234375,2052.550048828125
2005-02-10,5000.0,2053.10009765625
2005-02-11,5044.2001953125,2076.659912109375
2005-02-14,5041.7998046875,2082.909912109375
2005-02-15,5058.89990234375,2089.2099609375
2005-02-16,5053.2001953125,2087.429931640625
2005-02-17,5057.39990234375,2061.340087890625
2005-02-18,5057.2001953125,2058.6201171875
2005-02-21,5060.7998046875,
2005-02-22,5032.89990234375,2030.3199462890625
2005-02-23,4988.5,2031.25
2005-02-24,4972.10009765625,2051.699951171875
2005-02-25,5006.7998046875,2065.39990234375
2005-02-28,4968.5,2051.719970703125
2005-03-01,5000.5,2071.25
2005-03-02,4992.7998046875,2067.5
2005-03-03,5014.7998046875,2058.39990234375
2005-03-04,5036.2998046875,2070.610107421875
2005-03-07,5027.2001953125,2090.2099609375
2005-03-08,5010.89990234375,2073.550048828125
2005-03-09,4996.10009765625,2061.2900390625
2005-03-10,4962.10009765625,2059.719970703125
2005-03-11,4982.10009765625,2041.5999755859375
2005-03-14,4975.0,2051.0400390625
2005-03-15,5000.2001953125,2034.97998046875
2005-03-16,4937.60009765625,2015.75
2005-03-17,4922.10009765625,2016.4200439453125
2005-03-18,4923.2998046875,2007.7900390625
2005-03-21,4933.5,2007.510009765625
2005-03-22,4937.2998046875,1989.3399658203125
2005-03-23,4910.39990234375,1990.219970703125
2005-03-24,4922.5,1991.06005859375
2005-03-28,,1992.52001953125
2005-03-29,4919.0,1973.8800048828125
2005-03-30,4900.7001953125,2005.6700439453125
2005-03-31,4894.39990234375,1999.22998046875
2005-04-01,4914.0,1984.81005859375
2005-04-04,4896.7001953125,1991.0699462890625
2005-04-05,4942.89990234375,1999.3199462890625
2005-04-06,4947.39990234375,1999.1400146484375
2005-04-07,4977.0,2018.7900390625
2005-04-08,4983.7001953125,1999.3499755859375
2005-04-11,4973.2998046875,1992.1199951171875
2005-04-12,4946.2001953125,2005.4000244140625
2005-04-13,4960.7998046875,1974.3699951171875
2005-04-14,4945.39990234375,1946.7099609375
2005-04-15,4891.60009765625,1908.1500244140625
2005-04-18,4827.10009765625,1912.9200439453125
2005-04-19,4855.60009765625,1932.3599853515625
2005-04-20,4822.0,1913.760009765625
2005-04-21,4819.60009765625,1962.4100341796875
2005-04-22,4849.2998046875,1932.18994140625
2005-04-25,4864.89990234375,1950.780029296875
2005-04-26,4845.5,1927.43994140625
2005-04-27,4789.39990234375,1930.4300537109375
2005-04-28,4790.2001953125,1904.1800537109375
2005-04-29,4801.7001953125,1921.6500244140625
2005-05-02,,1928.6500244140625
2005-05-03,4861.2998046875,1933.0699462890625
2005-05-04,4882.5,1962.22998046875
2005-05-05,4902.2998046875,1961.800048828125
2005-05-06,4918.89990234375,1967.3499755859375
2005-05-09,4910.2998046875,1979.6700439453125
2005-05-10,4892.39990234375,1962.77001953125
2005-05-11,4875.39990234375,1971.550048828125
2005-05-12,4893.2998046875,1963.8800048828125
2005-05-13,4886.5,1976.780029296875
2005-05-16,4884.2001953125,1994.4300537109375
2005-05-17,4898.5,2004.1500244140625
2005-05-18,4949.39990234375,2030.6500244140625
2005-05-19,4962.7001953125,2042.5799560546875
2005-05-20,4971.7998046875,2046.4200439453125
2005-05-23,4989.7998046875,2056.64990234375
2005-05-24,4982.5,2061.6201171875
2005-05-25,4971.5,2050.1201171875
2005-05-26,4994.89990234375,2071.239990234375
2005-05-27,4986.2998046875,2075.72998046875
2005-05-31,4964.0,2068.219970703125
2005-06-01,5011.0,2087.860107421875
2005-06-02,5005.0,2097.800048828125
2005-06-03,4999.39990234375,2071.429931640625
2005-06-06,4980.39990234375,2075.760009765625
2005-06-07,5025.2998046875,2067.159912109375
2005-06-08,5003.7001953125,2060.179931640625
2005-06-09,5009.2001953125,2076.909912109375
2005-06-10,5030.39990234375,2063.0
2005-06-13,5050.39990234375,2068.9599609375
2005-06-14,5046.7998046875,2069.0400390625
2005-06-15,5019.5,2074.919921875
2005-06-16,5045.0,2089.14990234375
2005-06-17,5077.60009765625,2090.110107421875
2005-06-20,5072.0,2088.1298828125
2005-06-21,5082.10009765625,2091.070068359375
2005-06-22,5099.2998046875,2092.030029296875
2005-06-23,5114.39990234375,2070.659912109375
2005-06-24,5079.0,2053.27001953125
2005-06-27,5043.5,2045.199951171875
2005-06-28,5090.39990234375,2069.889892578125
2005-06-29,5109.10009765625,2068.889892578125
2005-06-30,5113.2001953125,2056.9599609375
2005-07-01,5161.0,2057.3701171875
2005-07-04,5184.2998046875,
2005-07-05,5190.10009765625,2078.75
2005-07-06,5229.60009765625,2068.64990234375
2005-07-07,5158.2998046875,2075.659912109375
2005-07-08,5232.2001953125,2112.8798828125
2005-07-11,5242.39990234375,2135.429931640625
2005-07-12,5217.2001953125,2143.14990234375
2005-07-13,5245.89990234375,2144.110107421875
2005-07-14,5259.7001953125,2152.820068359375
2005-07-15,5230.89990234375,2156.780029296875
2005-07-18,5214.2001953125,2144.8701171875
2005-07-19,5201.60009765625,2173.179931640625
2005-07-20,5215.2001953125,2188.570068359375
2005-07-21,5221.60009765625,2178.60009765625
2005-07-22,5241.7998046875,2179.739990234375
2005-07-25,5270.7001953125,2166.739990234375
2005-07-26,5256.2001953125,2175.989990234375
2005-07-27,5263.60009765625,2186.219970703125
2005-07-28,5270.2998046875,2198.43994140625
2005-07-29,5282.2998046875,2184.830078125
2005-08-01,5290.89990234375,2195.3798828125
2005-08-02,5327.5,2218.14990234375
2005-08-03,5332.2998046875,2216.81005859375
2005-08-04,5315.5,2191.320068359375
2005-08-05,5314.7998046875,2177.909912109375
2005-08-08,5344.2998046875,2164.389892578125
2005-08-09,5363.7001953125,2174.18994140625
2005-08-10,5377.5,2157.81005859375
2005-08-11,5358.60009765625,2174.550048828125
2005-08-12,5345.7998046875,2156.89990234375
2005-08-15,5344.2001953125,2167.0400390625
2005-08-16,5322.39990234375,2137.06005859375
2005-08-17,5292.7001953125,2145.14990234375
2005-08-18,5269.2998046875,2136.080078125
2005-08-19,5312.60009765625,2135.56005859375
2005-08-22,5318.39990234375,2141.409912109375
2005-08-23,5300.2001953125,2137.25
2005-08-24,5275.2001953125,2128.909912109375
2005-08-25,5255.7001953125,2134.3701171875
2005-08-26,5228.10009765625,2120.77001953125
2005-08-29,,2137.64990234375
2005-08-30,5255.7998046875,2129.760009765625
2005-08-31,5296.89990234375,2152.090087890625
2005-09-01,5328.5,2147.89990234375
2005-09-02,5326.89990234375,2141.070068359375
2005-09-05,5337.7998046875,
2005-09-06,5359.2001953125,2166.860107421875
2005-09-07,5365.89990234375,2172.030029296875
2005-09-08,5340.7998046875,2166.030029296875
2005-09-09,5359.2998046875,2175.510009765625
2005-09-12,5375.10009765625,2182.830078125
2005-09-13,5338.0,2171.75
2005-09-14,5347.39990234375,2149.330078125
2005-09-15,5383.5,2146.14990234375
2005-09-16,5407.89990234375,2160.35009765625
2005-09-19,5429.7001953125,2145.260009765625
2005-09-20,5416.39990234375,2131.330078125
2005-09-21,5369.7001953125,2106.639892578125
2005-09-22,5385.7001953125,2110.780029296875
2005-09-23,5413.60009765625,2116.840087890625
2005-09-26,5453.10009765625,2121.4599609375
2005-09-27,5447.2998046875,2116.419921875
2005-09-28,5494.7998046875,2115.39990234375
2005-09-29,5478.2001953125,2141.219970703125
2005-09-30,5477.7001953125,2151.68994140625
2005-10-03,5501.60009765625,2155.429931640625
2005-10-04,5494.39990234375,2139.360107421875
2005-10-05,5427.7998046875,2103.02001953125
2005-10-06,5372.39990234375,2084.080078125
2005-10-07,5362.2998046875,2090.35009765625
2005-10-10,5374.60009765625,2078.919921875
2005-10-11,5380.7001953125,2061.090087890625
2005-10-12,5342.2001953125,2037.469970703125
2005-10-13,5265.2001953125,2047.219970703125
2005-10-14,5275.0,2064.830078125
2005-10-17,5286.5,2070.300048828125
2005-10-18,5263.89990234375,2056.0
